Size, Traditional, Vedic
21,4803,4008
22,6978,5801
23,8592,8271
24,11402,9934
25,12020,10088
26,12689,11082
27,14434,12065
28,17639,13951
29,21460,21040
30,21284,18670
31,23825,19993
32,25906,19605
33,30370,22351
34,29036,31575
35,31887,25662
36,33174,36219
37,34590,25151
38,41994,39001
39,37478,25775
40,44340,40745
41,42189,30566
42,48553,41176
43,46034,32801
44,53733,48964
45,47345,32223
46,52495,32350
47,57671,48747
48,54430,38032
49,58201,36670
50,63167,45896
51,63894,48837
52,67680,39914
53,68403,34795
54,68525,32687
55,76810,61524
56,72165,48703
57,72728,31949
58,74358,35425
59,75582,31281
60,82771,58249
61,84237,50562
62,84638,40224
63,88051,42335
64,91204,47929
65,90773,32142
66,90856,49541
67,96307,48618
68,98535,68598
69,93115,37927
70,98208,34659
71,105341,52447
72,105671,58681
73,103081,51353
74,102728,38070
75,108217,43787
76,115538,53787
77,118735,52901
78,120288,77383
79,114719,57633
80,121715,63590
81,129919,60022
82,123476,40369
83,125639,44497
84,128929,49434
85,135160,63924
86,131468,53043
87,134514,55972
88,143281,71681
89,134560,44093
90,139397,79609
91,142347,41975
92,142513,60684
93,150285,47831
94,143626,53761
95,150855,52635
96,147441,46176
97,147289,44556
98,156944,52965
99,156752,56797
100,168506,73494
101,156542,56114
102,164765,57433
103,169484,67102
104,169254,53124
105,174889,62921
106,168037,62201
107,172361,59468
108,175705,54884
109,170377,65316
110,176947,65919
111,182932,68945
112,179891,72858
113,184136,54687
114,191293,64759
115,185991,63754
116,192821,60587
117,190521,51434
118,189353,53593
119,197995,64340
120,193778,75843
121,201756,57857
122,206975,74731
123,202630,70492
124,206369,63060
125,196902,58726
126,213056,69960
127,216955,56516
128,219045,67721
129,215601,63104
130,219951,72956
131,216895,82640
132,222111,74721
133,223393,68707
134,223653,70912
135,227980,69909
136,232057,75649
137,217912,56035
138,227802,58253
139,234360,79016
140,231345,69677
141,240287,88924
142,238627,69639
143,231529,53787
144,247548,71567
145,251746,72153
146,250092,56733
147,252299,74012
148,251225,65298
149,257227,72025
150,255214,73444
151,266778,71025
152,268797,73323
153,267612,102415
154,270240,72704
155,262162,75574
156,270440,69120
157,283314,91023
158,270359,76958
159,273631,72008
160,286883,93130
161,282569,85421
162,282495,67563
163,276044,78551
164,287626,98035
165,285974,73873
166,289359,70464
167,283862,87827
168,294093,93801
169,295315,93630
170,295078,85061
171,300126,78438
172,287632,70803
173,296158,67760
174,308661,89151
175,306160,88366
176,300304,70741
177,316635,95218
178,320817,102239
179,308989,65820
180,322196,87986
181,319220,73607
182,325460,89711
183,327837,83906
184,315970,93311
185,329191,94422
186,316122,66273
187,316594,70717
188,339923,92507
189,341426,93027
190,339184,77765
191,351766,86528
192,340763,105074
193,349706,85892
194,342755,89733
195,340002,80847
196,350944,99933
197,345185,81489
198,352082,103571
199,358242,89537
200,349503,78125
201,359377,87394
202,362285,83183
203,349315,87651
204,369140,98503
205,368153,108098
206,359710,87259
207,367558,85809
208,372351,78603
209,373893,102462
210,369895,90362
211,394530,122563
212,384076,101765
213,387546,98768
214,386749,100035
215,387980,109793
216,391370,103956
217,380157,86359
218,394787,100374
219,398312,92226
220,404302,102928
221,406437,99106
222,398803,96859
223,404008,109025
224,407269,102386
225,408400,113439
226,409302,105307
227,416984,102118
228,419901,106862
229,414531,124931
230,417629,120537
231,422079,104847
232,415905,98700
233,416637,98511
234,428567,121578
235,426061,95821
236,423445,104768
237,435908,109911
238,450160,162242
239,444127,115656
240,430726,93649
241,440380,112334
242,435502,106527
243,441030,106039
244,445234,106905
245,444950,109755
246,442269,111074
247,448087,99325
248,460165,117200
249,458851,118051
250,452253,111762
